,hash,genre,faces_zs,gray_max_zs,gray_med_zs,gray_std_zs,max_b_zs,max_g_zs,max_r_zs,med_b_zs,med_g_zs,med_r_zs,std_b,std_g,std_r,hmax1_zs,hmax2_zs,hmax3_zs,smax1_zs,smax2_zs,smax3_zs,smed_zs,sstd,vmax1_zs,vmax2_zs,vmax3_zs,vmed_zs,vstd,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15,comp_16,comp_17,comp_18,comp_19,comp_20,comp_21,comp_22,comp_23,comp_24,comp_25
5775,d6411f2d-60ec-43b0-ad8a-4a11859d1693,hip-hop,-0.5529,0.6603,0.489,-0.5848,0.9333,0.6603,0.3119,0.8168,0.5507,0.2052,53.5279,51.0490,50.2975,1.5959,1.371,1.38,-0.1324,0.8654,0.3761,-1.1043,14.8808,-1.3954,0.3933,0.0659,0.2505,53.2761,1.8157,0.7105,1.2184,0.0783,-0.1130,1.0050,0.6436,0.8013,0.3139,-0.2604,0.6893,0.7080,0.0544,0.2922,0.1042,-0.1608,0.3226,0.5283,0.0895,-0.2924,-0.3220,-0.1796,0.3218,-0.2134,-0.7025
5776,d7f9f67c-f7aa-4a1d-b8eb-c058ec8bb562,pop,0.3364,-0.9448,-0.8664,-1.0229,0.2805,-0.8919,-1.129,0.0544,-0.8109,-1.1499,54.0994,41.8378,43.4196,0.1302,-0.1219,-0.1842,-3.0951,-2.8813,-2.0484,1.101,48.9752,-0.237,-0.4649,0.5377,-0.4897,54.3860,-1.5475,-0.2813,-0.9745,-0.5240,0.3849,0.2004,0.0873,-0.3436,0.2203,-0.2576,0.6531,0.3648,0.6546,-0.1112,0.0335,0.1547,0.6725,0.3049,-0.0727,0.0235,-0.2581,0.1243,0.0164,0.1386,-0.1100
5777,d8b9880c-c6b3-3336-bf2a-809c5a701346,electronic,-0.5529,-0.3694,-0.4686,-2.6033,-0.2436,-0.3648,-0.4997,-0.2476,-0.4139,-0.5596,13.9278,13.9952,12.2489,1.1331,0.8996,0.8859,0.4601,0.3971,0.3761,-1.1519,9.1602,-0.237,-0.4649,-0.8777,-0.7501,12.4870,1.1553,0.0899,-1.5388,-0.2481,-0.2506,0.4551,1.5071,-0.0425,0.6149,-0.0048,-0.3882,-0.7700,0.0475,-0.3514,-0.6149,-0.0041,0.6115,0.1899,-0.0548,-0.1922,-0.2423,0.5445,-0.2367,-0.4912,-0.2499
5778,d9636a55-9fcf-49c1-b813-cd9002d2828b,hip-hop,-0.5529,-1.0256,-0.174,3.1486,-0.8964,-0.9798,-1.129,-0.0175,-0.1585,-0.2376,121.6773,121.7205,121.2050,-0.9497,-0.1219,-0.6781,0.4601,-3.3496,-2.5333,-1.374,56.5139,0.9215,-2.6105,-1.3495,-0.4212,121.0621,2.0616,0.1106,1.0879,-1.3541,0.0647,-0.1800,-0.6275,-0.6836,-0.0941,-0.2426,0.2055,0.4634,-0.0552,0.3305,-0.3742,-0.0036,-0.3591,0.0399,-0.1522,-0.0295,0.1963,0.3752,-0.3426,-0.4685,-0.0058
5779,d9b8a268-67b7-437e-9255-3965df1c714f,hip-hop,0.3364,-1.0256,-1.0874,0.8126,-0.8964,-0.9798,-1.129,-1.0676,-1.1089,-1.056,78.6035,78.7695,81.4217,-0.9497,-0.2005,-0.2665,0.4601,0.3971,0.3761,-0.0889,100.6200,0.9215,-1.3232,-2.765,-1.2573,81.4288,2.1242,-0.6870,0.0426,-1.5090,-0.6246,-1.0103,-0.1482,-0.3677,0.0189,0.1122,0.2482,0.0470,-0.5613,0.1514,-0.2963,0.3099,-0.0934,0.8025,-0.0969,-0.4062,-0.2459,0.1832,0.5059,-0.5762,-0.1637
5780,d9cf2224-cad9-4888-95f1-2fbe819b1bf9,country,1.2257,-0.9246,-0.0561,0.4038,-0.8964,-0.8724,-1.0469,-0.4778,-0.1869,0.4065,65.9259,70.9151,73.9547,-0.7183,-0.9862,-0.5958,0.4601,0.3971,0.3761,0.6091,66.3128,0.1492,-0.0358,1.0095,0.2505,73.5495,-1.4399,-0.1734,-1.3472,-1.1611,-1.0863,1.4177,-0.6218,-0.0578,-0.5288,-0.0205,-0.1936,0.1152,0.9478,0.0166,0.0022,-0.1064,0.1192,-0.0243,0.1488,-0.2122,-0.6520,0.1363,-0.2353,0.0107,-0.1006
5781,da011b4d-fee6-4512-bed7-41c13cf85318,country,0.3364,-0.9751,-0.5865,-0.3433,-0.7579,-0.9798,-1.0104,-0.7511,-0.7685,-0.0766,44.1113,55.0037,66.5996,-0.4097,0.1138,-0.6781,0.4601,0.3971,0.3761,1.0851,53.5298,-0.237,0.3933,1.0095,-0.2567,65.8199,-1.0127,-0.8414,-0.3916,-0.3220,-1.3976,0.9972,-0.4907,0.9446,0.1530,-0.3614,-0.7364,0.4328,-0.0230,0.1441,-0.2687,-0.3359,-0.4715,-0.1031,-0.0643,-0.1575,-0.1699,0.3402,0.4208,0.0188,-0.4305
5782,da52cf0e-2be4-4f7e-8b26-23aa9fcd100a,hip-hop,-0.5529,-1.0155,-1.22,-0.7768,-0.8568,-0.9603,-1.1198,-0.9525,-1.0947,-1.3646,48.6887,48.3060,46.4481,0.2074,0.1138,0.2275,0.4601,0.3971,0.3761,0.2442,72.3287,-1.3954,-0.8941,0.5377,-1.4080,48.5120,-1.4055,-0.6953,0.3737,0.3632,-1.2821,0.0752,0.2919,0.3530,-0.9269,-0.0983,-0.2863,-0.7419,-0.7266,0.2898,-0.2625,0.1390,-0.0243,0.8872,-0.0247,0.3910,-0.1323,0.2344,0.2182,-0.2443,-0.3086
5783,da82ea2f-6a31-4512-bc71-26873847e484,country,-0.5529,-0.4703,-0.3802,0.5607,-0.8964,-0.9798,1.1965,-0.6648,-0.499,-0.0229,82.5621,77.3030,60.7977,-0.1783,-1.1433,-0.4311,0.4601,0.3971,0.3761,1.0534,90.7383,0.9215,-0.0358,0.5377,-0.2018,61.2103,2.0734,1.0289,-0.8444,-0.1882,-0.3825,0.2034,0.3992,0.9116,0.6663,0.6912,0.6864,0.1289,-0.1115,0.9530,0.3221,0.3260,-0.2833,0.4354,0.1648,-0.2357,-0.2071,-0.1314,0.3760,0.1273,-0.5046
5784,db6864b9-cae5-4295-8079-7d9199dd026c,electronic,-0.5529,-0.5208,-0.2034,-0.3668,-0.3129,-0.5795,1.1965,-0.3771,-0.4422,0.3528,43.8487,57.9579,59.5269,-0.564,-0.6719,0.6391,0.4601,-1.008,-1.0786,0.5615,33.8543,-0.237,1.2515,-0.4059,0.1819,59.5429,-0.5915,0.6835,-0.0949,0.2383,0.1245,-0.9215,-0.8861,0.1130,-0.3592,0.3667,-0.6876,0.4429,0.0952,-0.2474,0.4139,-0.1362,-0.2361,0.0232,-0.2158,0.5336,-0.2315,-0.2832,-0.0453,0.0232,-0.2270
