,faces,filename,genre,hash,minNeighbors,scaleFactor
882,1,"['1994_5b7cd6df-efe0-443c-b800-854bedfa9d00_pop', 'jpg']",pop,5b7cd6df-efe0-443c-b800-854bedfa9d00,5,1.1
883,0,"['1994_5d278fdf-3109-4cea-ba4a-f89f3b4006fd_rock', 'jpg']",rock,5d278fdf-3109-4cea-ba4a-f89f3b4006fd,5,1.1
884,1,"['1994_5da4ac68-4d02-401a-99ab-ba39d8ea22b1_rock', 'jpg']",rock,5da4ac68-4d02-401a-99ab-ba39d8ea22b1,5,1.1
885,0,"['1994_5e9204e2-e7e9-4ee7-adff-142eddde48a3_electronic', 'jpg']",electronic,5e9204e2-e7e9-4ee7-adff-142eddde48a3,5,1.1
886,0,"['1994_5e95d52a-badb-4cce-a067-019130a405ad_hip-hop', 'jpg']",hip-hop,5e95d52a-badb-4cce-a067-019130a405ad,5,1.1
887,0,"['1994_60164d35-0908-3ca4-8b05-bc55176012fa_electronic', 'jpg']",electronic,60164d35-0908-3ca4-8b05-bc55176012fa,5,1.1
888,2,"['1994_6126bf61-a3cd-411a-ae85-cdda36fd9952_country', 'jpg']",country,6126bf61-a3cd-411a-ae85-cdda36fd9952,5,1.1
889,0,"['1994_6155e358-f908-4cd0-8eb7-da918b70035b_hip-hop', 'jpg']",hip-hop,6155e358-f908-4cd0-8eb7-da918b70035b,5,1.1
890,0,"['1994_637df077-d40a-4e72-bc02-9ace96cd3564_country', 'jpg']",country,637df077-d40a-4e72-bc02-9ace96cd3564,5,1.1
891,0,"['1994_64279c6f-9061-4844-a021-af8ed19f6970_electronic', 'jpg']",electronic,64279c6f-9061-4844-a021-af8ed19f6970,5,1.1
892,0,"['1994_65432fe5-7a5e-4718-936c-bec7b3008a47_hip-hop', 'jpg']",hip-hop,65432fe5-7a5e-4718-936c-bec7b3008a47,5,1.1
893,3,"['1994_65e46e08-39f7-4f7a-9424-da9b1eadf598_country', 'jpg']",country,65e46e08-39f7-4f7a-9424-da9b1eadf598,5,1.1
894,0,"['1994_669e7e2a-e1f9-49f9-972b-0e96ccf60ddc_hip-hop', 'jpg']",hip-hop,669e7e2a-e1f9-49f9-972b-0e96ccf60ddc,5,1.1
895,0,"['1994_6950bbff-db6f-4b9b-aeba-de5e63ebae5c_rock', 'jpg']",rock,6950bbff-db6f-4b9b-aeba-de5e63ebae5c,5,1.1
896,0,"['1994_69f548da-6370-4880-aacf-c9aa5ff25e8d_rock', 'jpg']",rock,69f548da-6370-4880-aacf-c9aa5ff25e8d,5,1.1
897,0,"['1994_6a61d8ff-b26c-39e9-a173-34fd885fd7b4_pop', 'jpg']",pop,6a61d8ff-b26c-39e9-a173-34fd885fd7b4,5,1.1
898,0,"['1994_6b572858-3f1e-35b6-a45d-e34103346077_hip-hop', 'jpg']",hip-hop,6b572858-3f1e-35b6-a45d-e34103346077,5,1.1
899,1,"['1994_6b98a79b-8c6c-4bec-b67a-ad6c97adf4dd_rock', 'jpg']",rock,6b98a79b-8c6c-4bec-b67a-ad6c97adf4dd,5,1.1
900,1,"['1994_6de7ac1c-9aeb-4133-8597-f64c181163be_electronic', 'jpg']",electronic,6de7ac1c-9aeb-4133-8597-f64c181163be,5,1.1
901,6,"['1994_6fe3bac5-44e9-4d75-9d71-dbf48e5ded0c_country', 'jpg']",country,6fe3bac5-44e9-4d75-9d71-dbf48e5ded0c,5,1.1
902,0,"['1994_705dbf11-228e-4742-a1c5-ba6eb1d57c7c_electronic', 'jpg']",electronic,705dbf11-228e-4742-a1c5-ba6eb1d57c7c,5,1.1
903,0,"['1994_707c7c8a-b092-4af9-abf4-2332471cb426_hip-hop', 'jpg']",hip-hop,707c7c8a-b092-4af9-abf4-2332471cb426,5,1.1
904,0,"['1994_70b2d797-53b6-497c-b56e-3a7d516b994b_rock', 'jpg']",rock,70b2d797-53b6-497c-b56e-3a7d516b994b,5,1.1
905,0,"['1994_715ee3e1-669b-481a-a290-205bca43d44a_electronic', 'jpg']",electronic,715ee3e1-669b-481a-a290-205bca43d44a,5,1.1
906,0,"['1994_72d0ac42-f205-4056-9aba-97b53a801abf_country', 'jpg']",country,72d0ac42-f205-4056-9aba-97b53a801abf,5,1.1
