Dateiname,Tag1,Tag1_P,Tag2,Tag2_P,Tag3,Tag3_P,Tag4,Tag4_P,Tag5,Tag5_P
1994_f4ba50c7-25b4-4613-a709-664c866047ee_rock.jpg;illustration,0.9786334,danger,0.93698716,business,0.93672013,desktop,0.93641955,paper,0.9362358,
1995_0d225de3-5dcf-4219-93e0-be16ab17afa7_rock.jpg;people,0.9933064,adult,0.96216565,man,0.9586669,two,0.9403021,snow,0.9323731,
1995_0dcb1330-c599-44d0-9993-9b8b84034890_country.jpg;retro,0.9922458,paper,0.9852174,people,0.98287845,portrait,0.9716995,vintage,0.9698305,
1995_1f12e476-f578-4a07-bc6f-578afed93e95_electronic.jpg;no person,0.9875961,outdoors,0.9747315,painting,0.95871973,water,0.9459245,fall,0.9449434,
1995_2f46bec5-6923-454a-ad19-1f1d4c6e5b02_hip-hop.jpg;no person,0.9933953,retro,0.9687355,wealth,0.9580749,equipment,0.9556836,business,0.9556817,
1995_31d4a361-ee0a-44f2-8db8-b0ffc8179d2e_electronic.jpg;paper,0.96697456,blur,0.94028854,no person,0.93197006,business,0.9111589,desktop,0.89052796,
1995_32eace38-f6b5-477b-9b6a-6370775ebf7b_country.jpg;no person,0.9798346,electronics,0.9766457,electricity,0.9664835,knob,0.9543202,equipment,0.9515754,
1995_483ac6b2-555f-41ad-9a8c-7ff51e887b5d_electronic.jpg;no person,0.9518066,pattern,0.9348279,design,0.9213089,people,0.910998,symbol,0.8998412,
1995_4df2f9a7-8d62-4895-a28c-c5df3e666ad5_rock.jpg;illustration,0.98606455,wildlife,0.9580872,animal,0.9573407,nature,0.939634,horizontal,0.9348755,
1995_50b4286d-282e-47ee-8a70-6f2357dc6919_rock.jpg;no person,0.9847778,nature,0.95409656,outdoors,0.9366578,winter,0.91560626,desktop,0.8929461,
1995_55b3afe2-c079-42e4-84d5-4a7e5bd4d8bb_pop.jpg;people,0.9927319,man,0.9858365,portrait,0.9852984,retro,0.9680491,antique,0.9633608,
1995_711946e6-0c3e-3b60-92dd-20e3ced9d0e5_electronic.jpg;technology,0.97645354,science,0.9724722,missile,0.9448754,power,0.9446922,gun,0.90404665,
1995_72cbb9e5-99aa-45ef-a762-8dfb6eb3674d_electronic.jpg;abstract,0.9803443,desktop,0.9774449,illustration,0.9617106,wave,0.9457686,technology,0.932607,
1995_737fe3c1-8b60-42d6-924f-056510d7e642_rock.jpg;abstract,0.9829321,round,0.9746413,illustration,0.9706943,technology,0.9702699,pattern,0.94558823,
1995_77f32a9c-8080-497b-b0d9-f93e21a5f93c_rock.jpg;man,0.9736763,bill,0.9735007,people,0.9586896,adult,0.92656887,business,0.9153179,
1995_802bf5d5-9257-4d29-84af-edf61bc0c91c_country.jpg;squad,0.98723924,illustration,0.9820802,man,0.9811032,teamwork,0.971524,people,0.9678179,
1995_8448c029-52f5-41f0-bc80-718d8d91fae5_electronic.jpg;creativity,0.94836193,pattern,0.9469363,design,0.9339105,abstract,0.9277562,business,0.92507124,
1995_856284e5-e975-461c-b132-6ab9c2f27ef0_country.jpg;woman,0.9908447,indoors,0.9706493,people,0.969349,adult,0.9583158,sit,0.9425732,
1995_9eeaa399-0c9b-411c-8e93-2c96551760e4_hip-hop.jpg;design,0.9577626,symbol,0.95474017,retro,0.9523274,desktop,0.94352376,illustration,0.93928075,
1995_d1f89730-eb6e-431f-84a0-6ca631345b2e_pop.jpg;people,0.9812561,adult,0.94855833,communication,0.9453913,illustration,0.92423064,paper,0.92296994,
1995_d3080a3d-c41f-4d78-b80e-8d8ab26ac200_electronic.jpg;no person,0.97974896,people,0.9746599,man,0.94229364,one,0.9369023,adult,0.9364364,
1995_e1b24c75-812a-4306-ad42-f88916b073f3_pop.jpg;retro,0.99081165,portrait,0.9842768,people,0.97861546,woman,0.9781567,one,0.9710658,
1995_ea312cf2-017e-4362-be40-588bfea67fff_country.jpg;adult,0.9949325,portrait,0.9930699,people,0.99253,man,0.980363,one,0.9699396,
1995_f2d28583-174b-4c50-bd86-e0d4b866bf11_hip-hop.jpg;people,0.9972458,stock,0.9846884,street,0.9811082,adult,0.97278583,one,0.9636586,
1996_0bafaedd-658b-4ed7-90df-1582a23c79b7_rock.jpg;no person,0.9892643,painting,0.95042974,wear,0.94736946,flower,0.9468288,one,0.9352193,
1996_27c5f9be-6b51-4ddc-860f-0ed605e9d836_country.jpg;lid,0.99770594,man,0.9954891,cowboy,0.99170566,people,0.97620994,cowboy hat,0.9718096,
1996_2825df2f-bd7b-47d9-9a51-79e9b3b21ba2_hip-hop.jpg;display,0.9878051,business,0.9722898,symbol,0.95496845,text,0.95453244,technology,0.95335937,
1996_2fa486f2-5e20-4a63-8e03-2a16dc32963c_rock.jpg;portrait,0.9982104,people,0.9975388,man,0.9938079,adult,0.9876425,one,0.98234236,
1996_3e15d970-158a-4dda-9d00-d31b20a9eb7f_electronic.jpg;no person,0.98514736,round,0.9557232,desktop,0.92892945,pattern,0.91980195,abstract,0.9197318,
1996_6394deb7-c2e6-4d9f-8164-c7661bb62edd_country.jpg;illustration,0.9840437,old,0.9424725,vintage,0.94074726,desktop,0.9384716,house,0.90285814,
1996_65c216a0-1233-4ca4-b033-e17df5489a31_country.jpg;people,0.9988769,one,0.98675513,adult,0.9855572,lid,0.98512495,portrait,0.97810364,
1996_7d2fad7b-1e9b-4c9b-8c21-5057dc237394_pop.jpg;people,0.99737686,one,0.98213065,athlete,0.9770205,adult,0.9767897,man,0.96263075,
1996_85e9cfbd-d41d-407f-ad85-7e661c0c11db_electronic.jpg;horizontal plane,0.99018157,outdoors,0.98986566,nature,0.9887941,cloud,0.9884715,sea,0.9881916,
1996_960e5cd6-b869-455b-9a86-115343f333c3_rock.jpg;no person,0.9191475,illustration,0.8955724,desktop,0.88726246,music,0.87046266,graffiti,0.85711443,
1996_9f754cd6-7653-4b0d-bf72-1745a60d5f1e_pop.jpg;illustration,0.99384904,vector,0.9842338,sketch,0.96945226,man,0.9184656,art,0.89953625,
1996_9fe82bfa-ef73-4338-b476-df8d86a51e57_pop.jpg;desktop,0.9785866,old,0.9605123,texture,0.9527085,symbol,0.9390947,design,0.93648016,
1996_aea728ef-e286-3949-bfba-01ab0ac961c2_pop.jpg;adult,0.9946389,people,0.99374855,man,0.9880895,outdoors,0.9684844,woman,0.93408525,
1996_dd51cabe-c150-38cf-b0cd-ebc9e5c9994f_rock.jpg;vintage,0.99715567,old,0.99314255,retro,0.9931335,card,0.9819988,antique,0.9804496,
1996_f123a7bf-01c9-458f-8fa9-6cf087d3aadf_country.jpg;old,0.9975765,retro,0.9932128,vintage,0.9931049,antique,0.9901913,pattern,0.9837528,
1996_f943cb70-14b3-4243-8144-1ad83a01aaa9_country.jpg;people,0.99812233,adult,0.9958015,music,0.99273545,musician,0.98944956,lid,0.9859474,
1997_04342860-0351-47fd-9a9a-00cf59b9c579_country.jpg;people,0.95560473,text,0.9429464,paper,0.8801168,man,0.8685303,retro,0.86498535,
1997_0aec800b-621e-48df-a734-2720a6312885_rock.jpg;people,0.97307396,vertical,0.93212444,outdoors,0.92820656,man,0.90677226,portrait,0.90324545,
1997_1158929a-8a88-4b06-a7c9-cd5930db146e_hip-hop.jpg;illustration,0.98409677,vertical,0.9471157,horizontal,0.9379358,city,0.9177909,horizontal plane,0.90928113,
1997_1abf3c04-cc11-4ea7-8377-dccf6355579c_hip-hop.jpg;competition,0.98643696,man,0.9522326,stadium,0.93029296,athlete,0.9094771,championship,0.90943396,
