,filename,genre,hash,minNeighbors,people,scaleFactor
120,"['1996_6394deb7-c2e6-4d9f-8164-c7661bb62edd_country', 'jpg']",country,6394deb7-c2e6-4d9f-8164-c7661bb62edd,4,0,1.09
121,"['1996_65c216a0-1233-4ca4-b033-e17df5489a31_country', 'jpg']",country,65c216a0-1233-4ca4-b033-e17df5489a31,4,0,1.09
122,"['1996_7d2fad7b-1e9b-4c9b-8c21-5057dc237394_pop', 'jpg']",pop,7d2fad7b-1e9b-4c9b-8c21-5057dc237394,4,0,1.09
123,"['1996_85e9cfbd-d41d-407f-ad85-7e661c0c11db_electronic', 'jpg']",electronic,85e9cfbd-d41d-407f-ad85-7e661c0c11db,4,0,1.09
124,"['1996_960e5cd6-b869-455b-9a86-115343f333c3_rock', 'jpg']",rock,960e5cd6-b869-455b-9a86-115343f333c3,4,0,1.09
125,"['1996_9f754cd6-7653-4b0d-bf72-1745a60d5f1e_pop', 'jpg']",pop,9f754cd6-7653-4b0d-bf72-1745a60d5f1e,4,0,1.09
126,"['1996_9fe82bfa-ef73-4338-b476-df8d86a51e57_pop', 'jpg']",pop,9fe82bfa-ef73-4338-b476-df8d86a51e57,4,1,1.09
127,"['1996_aea728ef-e286-3949-bfba-01ab0ac961c2_pop', 'jpg']",pop,aea728ef-e286-3949-bfba-01ab0ac961c2,4,1,1.09
128,"['1996_dd51cabe-c150-38cf-b0cd-ebc9e5c9994f_rock', 'jpg']",rock,dd51cabe-c150-38cf-b0cd-ebc9e5c9994f,4,1,1.09
129,"['1996_f123a7bf-01c9-458f-8fa9-6cf087d3aadf_country', 'jpg']",country,f123a7bf-01c9-458f-8fa9-6cf087d3aadf,4,0,1.09
130,"['1996_f943cb70-14b3-4243-8144-1ad83a01aaa9_country', 'jpg']",country,f943cb70-14b3-4243-8144-1ad83a01aaa9,4,0,1.09
131,"['1997_04342860-0351-47fd-9a9a-00cf59b9c579_country', 'jpg']",country,04342860-0351-47fd-9a9a-00cf59b9c579,4,0,1.09
132,"['1997_0aec800b-621e-48df-a734-2720a6312885_rock', 'jpg']",rock,0aec800b-621e-48df-a734-2720a6312885,4,0,1.09
133,"['1997_1158929a-8a88-4b06-a7c9-cd5930db146e_hip-hop', 'jpg']",hip-hop,1158929a-8a88-4b06-a7c9-cd5930db146e,4,0,1.09
134,"['1997_1abf3c04-cc11-4ea7-8377-dccf6355579c_hip-hop', 'jpg']",hip-hop,1abf3c04-cc11-4ea7-8377-dccf6355579c,4,0,1.09
135,"['1997_2b60087a-bb73-432b-b986-b43931064d0e_pop', 'jpg']",pop,2b60087a-bb73-432b-b986-b43931064d0e,4,0,1.09
