	genre	hash	histmax	histmed	histstd	faces
109	hip-hop	9eeaa399-0c9b-411c-8e93-2c96551760e4	0	0.0	6313.92564192189	0
110	pop	d1f89730-eb6e-431f-84a0-6ca631345b2e	255	0.0	6859.109398901125	1
111	electronic	d3080a3d-c41f-4d78-b80e-8d8ab26ac200	255	0.0	6258.466141892816	0
112	pop	e1b24c75-812a-4306-ad42-f88916b073f3	0	0.0	5860.15485110302	0
113	country	ea312cf2-017e-4362-be40-588bfea67fff	0	0.0	5865.902191439203	1
114	hip-hop	f2d28583-174b-4c50-bd86-e0d4b866bf11	0	0.0	5902.057599036437	3
115	rock	0bafaedd-658b-4ed7-90df-1582a23c79b7	0	0.0	6380.746922811525	0
116	country	27c5f9be-6b51-4ddc-860f-0ed605e9d836	255	0.0	5927.244113848886	0
117	hip-hop	2825df2f-bd7b-47d9-9a51-79e9b3b21ba2	0	0.0	7206.208139785184	0
118	rock	2fa486f2-5e20-4a63-8e03-2a16dc32963c	0	0.0	6592.453371031057	1
119	electronic	3e15d970-158a-4dda-9d00-d31b20a9eb7f	0	0.0	5861.396294359498	0
120	country	6394deb7-c2e6-4d9f-8164-c7661bb62edd	255	0.0	6499.777581230665	0
121	country	65c216a0-1233-4ca4-b033-e17df5489a31	0	0.0	5937.419046487603	2
122	pop	7d2fad7b-1e9b-4c9b-8c21-5057dc237394	0	0.0	5887.645747598844	2
123	electronic	85e9cfbd-d41d-407f-ad85-7e661c0c11db	255	0.0	5850.843085282133	0
124	rock	960e5cd6-b869-455b-9a86-115343f333c3	0	0.0	6142.791525247804	0
125	pop	9f754cd6-7653-4b0d-bf72-1745a60d5f1e	255	0.0	8673.252255272744	1
126	pop	9fe82bfa-ef73-4338-b476-df8d86a51e57	0	0.0	7045.287175603188	0
127	pop	aea728ef-e286-3949-bfba-01ab0ac961c2	255	0.0	5871.22907736585	0
128	rock	dd51cabe-c150-38cf-b0cd-ebc9e5c9994f	255	0.0	6499.0291303177555	1
129	country	f123a7bf-01c9-458f-8fa9-6cf087d3aadf	0	0.0	5904.265182701083	0
130	country	f943cb70-14b3-4243-8144-1ad83a01aaa9	0	0.0	5985.4729544357015	2
131	country	04342860-0351-47fd-9a9a-00cf59b9c579	0	0.0	5896.266497154683	2
132	rock	0aec800b-621e-48df-a734-2720a6312885	0	0.0	6385.5732003991825	0
133	hip-hop	1158929a-8a88-4b06-a7c9-cd5930db146e	255	0.0	6108.7103823275365	0
134	hip-hop	1abf3c04-cc11-4ea7-8377-dccf6355579c	0	0.0	5857.391019779519	1
135	pop	2b60087a-bb73-432b-b986-b43931064d0e	0	0.0	6646.416608841282	1
136	hip-hop	55c24dc9-d6bf-4fd6-b306-2b3f40c62927	0	0.0	6741.505645127151	3
137	country	5965201a-bf72-40da-a28c-610d53213bd7	0	0.0	5847.262516220197	0
138	country	5c2103db-5dab-469f-9697-02c9e542ad4a	255	0.0	5825.463121007527	2
139	rock	6137f03f-be09-418d-9b5a-9799531f635e	0	0.0	7908.76343521658	1
140	country	6445dabe-2389-4dd8-94a6-9f22e8e254d6	0	0.0	5977.336142737939	1
141	pop	6d969bc3-6575-44e7-87eb-a2142c20163d	0	0.0	6228.648903893103	2
142	pop	b73f4fe0-8676-401f-b38e-9b117d6e2f8e	255	0.0	6936.590314513771	4
143	rock	bbf6ecfb-cb4f-401c-9d05-2b6c22d1366d	255	0.0	5815.485893352441	3
144	country	d21770fe-5235-4bba-9289-f8e3c2b39282	255	0.0	6486.9333323685205	1
145	hip-hop	db470570-67e1-40f0-afef-9e089b28cabd	0	0.0	7337.151263805916	1
146	country	e52596cc-dcd4-4aba-99b1-f600f13cb0c2	255	0.0	5861.267830600412	1
147	electronic	e6215166-075f-4c9e-93db-d3d028dd8fe1	0	0.0	5866.529264674408	0
148	electronic	f0781963-a86c-44b8-b6f3-6f9982832e3d	255	0.0	6946.4034548125155	0
149	electronic	08eba0cf-3a36-4655-9bff-ce2518934a21	255	0.0	5834.854045344128	0
150	country	09cdc71c-ed69-3be2-a587-cf475e3612db	255	0.0	5882.833446841858	0
151	electronic	15a9376e-5407-44cb-adaf-55242c494cca	0	0.0	5978.851085349195	0
152	electronic	302b15bf-5f05-4e56-8d9b-be73c4c13edf	0	0.0	6651.7955808352035	1
153	hip-hop	3fb4454a-64b6-4981-8748-4cdd889fe04b	0	0.0	7296.370413763528	1
154	hip-hop	46763006-00e6-4fd4-8788-5e75f5e7f170	255	0.0	11138.12347739314	0
155	country	508ff93f-7cef-49e3-a16c-368988860735	255	0.0	5900.356320344666	2
156	electronic	84179abc-b714-40fc-8390-8518d57a41d5	0	0.0	5846.825955499809	0
157	hip-hop	84cfc47e-60e8-4256-a87f-b952056288dc	0	0.0	7782.605979492426	0
158	rock	a0dfcd18-8b1a-4efe-aa62-13b44eefcd86	255	0.0	5944.022310731072	5
159	pop	a6a37a40-793d-4528-9a2c-4e8c7169e4c7	0	0.0	5848.699773707721	3
160	country	a748a984-1790-48bf-9f92-15d5f8152fe2	0	0.0	6421.07214537368	0
161	electronic	b1505d97-4951-486e-84e0-1bc01f2a8567	0	0.0	6545.241627093018	0
162	electronic	b58b451e-77e8-4d11-a3ed-99a64df539d5	0	0.0	6970.477375880095	0
163	hip-hop	bfdf5e10-043e-47fb-bbde-3dcd16e13fc5	0	0.0	12036.312862509794	0
164	rock	d28b1565-137e-475b-b554-a4a9cde3810b	0	0.0	6282.936709167637	0
165	hip-hop	d6521901-fa16-451d-86f3-50273ff5fb05	255	0.0	5847.910062377521	0
166	hip-hop	d6c866bf-1bab-4c35-b538-d4b42c0d93ed	0	0.0	14461.171693403467	0
167	electronic	de32ea23-1f25-4359-93ee-afdc9de2b6dc	0	0.0	6571.0045176589065	0
