,genre,hash,histmax_b,histmax_g,histmax_r,histmed_b,histmed_g,histmed_r,histstd_b,histstd_g,histstd_r
422,electronic,26f618e5-3259-4e4e-94ca-5df54bd1469d,0,0,0,445.0,291.0,625.0,0.0,0.0,0.0
423,electronic,9fe3276e-e7a2-4364-bc36-09704613360b,0,0,0,7.0,11.0,17.0,0.0,0.0,0.0
424,country,002877ac-67ec-49c0-b12f-68bc9b4ee1af,0,0,0,786.0,213.0,4925.0,0.0,0.0,0.0
425,rock,9e327a6d-4cbd-4068-a647-896069a7e2a0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
426,rock,0bafaedd-658b-4ed7-90df-1582a23c79b7,0,0,0,1503.0,1044.0,1326.0,0.0,0.0,0.0
427,pop,0789780c-0059-44f7-b4f5-5a06de3dcd26,0,0,0,6573.0,86.0,5.0,0.0,0.0,0.0
428,rock,99070885-eb30-4604-be19-c07bd93ef12e,0,0,0,1099.0,61.0,728.0,0.0,0.0,0.0
429,hip-hop,ab48b1da-7190-4f3a-b1c3-78b4778128a7,0,0,0,3103.0,14.0,132.0,0.0,0.0,0.0
430,electronic,47c4a416-cf8b-44b2-ae05-7f810c6e149e,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
431,pop,8068e914-f3a9-4e3c-a9dd-511ec459a626,0,0,0,1.0,9.0,43.0,0.0,0.0,0.0
432,rock,fc0c4079-a29f-30e3-939e-d6ee4d03f886,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
433,hip-hop,15954da7-7d95-4813-abfe-b7c61e4d0975,0,0,0,19362.0,198.0,412.0,0.0,0.0,0.0
434,country,db1f317d-7c44-474b-9be6-3302eb52fcb2,0,0,0,3657.0,3450.0,2800.0,0.0,0.0,0.0
435,hip-hop,86c91629-9d6c-416b-8b2e-3ba4e6ed0b07,0,0,0,9235.0,7058.0,1275.0,0.0,0.0,0.0
436,pop,b73f4fe0-8676-401f-b38e-9b117d6e2f8e,0,0,0,823.0,525.0,61.0,0.0,0.0,0.0
437,electronic,052c18c4-2fd7-4be8-bf9e-c538d131a039,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
438,hip-hop,f2d28583-174b-4c50-bd86-e0d4b866bf11,0,0,0,1472.0,1607.0,64.0,0.0,0.0,0.0
439,hip-hop,6312f231-415c-4317-b145-460edfce1806,0,0,0,570.0,520.0,469.0,0.0,0.0,0.0
440,hip-hop,0b98781c-a8ec-4a9e-a4ed-0fdfd1033ced,0,0,0,3091.0,14.0,0.0,0.0,0.0,0.0
441,pop,780902b9-e89f-473f-8616-7d27c0d3f22c,0,0,0,3511.0,163.0,309.0,0.0,0.0,0.0
442,pop,9820fea9-39da-3e96-830a-202b6cde8253,0,0,0,71.0,13.0,195.0,0.0,0.0,0.0
443,pop,d145e18a-6cbe-434b-82fe-dd680d45b060,0,0,0,3590.0,782.0,44.0,0.0,0.0,0.0
444,rock,52ff2a91-e2c9-3045-9dff-879dd4864426,0,0,0,293.0,1.0,870.0,0.0,0.0,0.0
445,hip-hop,a5d1ef39-09af-45ea-a3d7-8af0a91a691a,0,0,0,13895.0,10206.0,1011.0,0.0,0.0,0.0
446,pop,ede858b2-0b08-4944-bc2e-88dc50f8ba9f,0,0,0,2228.0,19497.0,17594.0,0.0,0.0,0.0
447,pop,9f754cd6-7653-4b0d-bf72-1745a60d5f1e,0,0,0,9636.0,1861.0,235.0,0.0,0.0,0.0
448,hip-hop,a42b2f39-dd6c-4db0-896f-456d2ad0c474,0,0,0,20493.0,13698.0,13448.0,0.0,0.0,0.0
449,rock,cf2823eb-9fbd-46a7-af5c-9e4455277c62,0,0,0,29681.0,19467.0,16294.0,0.0,0.0,0.0
450,country,856284e5-e975-461c-b132-6ab9c2f27ef0,0,0,0,206.0,0.0,2.0,0.0,0.0,0.0
451,electronic,6df2edfe-cad6-4f74-b660-e782c60f5da5,0,0,0,182.0,0.0,102.0,0.0,0.0,0.0
452,country,81e0d103-5fbe-4765-8c75-8ba33c30b36b,0,0,0,2025.0,937.0,2499.0,0.0,0.0,0.0
453,electronic,d5f90194-031d-4192-88f5-9bb89ce632bd,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
454,pop,55699405-a41f-4835-8ff0-d659808edccd,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
455,pop,2bd73f2b-9d42-4ea9-b5b2-1c91ad87a692,0,0,0,2024.0,2289.0,844.0,0.0,0.0,0.0
456,hip-hop,98450cf0-1972-403c-ab5f-318003cc6c6c,0,0,0,1156.0,114.0,192.0,0.0,0.0,0.0
457,country,28d79e63-2e5a-404d-b95f-f1b383babcfe,0,0,0,27726.0,25036.0,23430.0,0.0,0.0,0.0
458,hip-hop,a047b949-977d-4f8e-ad97-c7fdd621fe79,0,0,0,110.0,196.0,1845.0,0.0,0.0,0.0
459,electronic,81a1dc18-349b-4470-a85f-f2cf1cf3ff67,0,0,0,1014.0,374.0,122.0,0.0,0.0,0.0
460,country,c25b0906-b5ab-495c-8979-fdda63c231a9,0,0,0,324.0,132.0,0.0,0.0,0.0,0.0
461,country,754faecf-8687-4e02-9fd3-e1165d8b7f28,0,0,0,1763.0,54.0,476.0,0.0,0.0,0.0
462,rock,3a65e08a-a077-4fcf-b81b-901fa9104fc8,0,0,0,4751.0,252.0,2756.0,0.0,0.0,0.0
463,pop,437a177e-71a7-4cc3-9af4-f6fad7636fdc,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
464,rock,0c25166a-9684-43ae-8349-a3133269d3e2,0,0,0,22690.0,19413.0,71.0,0.0,0.0,0.0
465,country,331b3e8d-c13d-4664-b066-2c455c77ffd2,0,0,0,736.0,2812.0,5570.0,0.0,0.0,0.0
466,pop,529b0a15-e88e-4af3-a0c2-bf05b2e0fbdc,0,0,0,160.0,47.0,7043.0,0.0,0.0,0.0
467,hip-hop,db470570-67e1-40f0-afef-9e089b28cabd,0,0,0,21939.0,2635.0,1517.0,0.0,0.0,0.0
468,country,c382865c-1a47-4650-97be-e8e12272e211,0,0,0,58.0,58.0,92.0,0.0,0.0,0.0
469,hip-hop,6803c0ea-0fb7-442a-afb0-b8614c83d038,0,0,0,38.0,136.0,41.0,0.0,0.0,0.0
470,hip-hop,c25f58bd-3a4b-4940-a172-0bf6d0435887,0,0,0,15.0,1.0,32.0,0.0,0.0,0.0
471,hip-hop,84cfc47e-60e8-4256-a87f-b952056288dc,0,0,0,45314.0,45399.0,36885.0,0.0,0.0,0.0
472,rock,ac3c348f-8d12-40bd-8def-7aa67d4946a3,0,0,0,12.0,8.0,21.0,0.0,0.0,0.0
473,rock,82f14d3d-094c-4c93-8892-51d5099f6872,0,0,0,19132.0,19132.0,19132.0,0.0,0.0,0.0
474,country,6394deb7-c2e6-4d9f-8164-c7661bb62edd,0,0,0,1478.0,0.0,20.0,0.0,0.0,0.0
475,country,bd18c7e3-7248-4f68-90f7-f5f0c4c491ac,0,0,0,1726.0,125.0,270.0,0.0,0.0,0.0
476,country,82dfe0a3-a84f-499a-9efa-da0c0873ea33,0,0,0,4200.0,2151.0,446.0,0.0,0.0,0.0
477,electronic,495c9999-ebd7-44ab-a631-f3c626b17246,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
478,country,de1fbef7-d6cb-4e87-bb8d-5fb084b8b58b,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
