,genre,gray_max,gray_med,gray_std,hash
190,rock,-1.0256,-0.2624,-0.2422,07569433-1f72-4de0-8128-8cb85fbd02af
191,country,-1.0256,-0.8664,0.6761,078d99f5-90ca-447c-a903-36f1e6a69c19
192,country,-0.8741,0.0323,0.4415,07c11392-ec30-40d5-a8c3-6bd542688f43
193,hip-hop,1.5487,0.3122,1.9449,09fadffc-4815-4d10-9b32-8a895c83e2eb
194,hip-hop,-0.7732,-0.7044,1.1674,0dc5f64a-95a5-46c1-bfcc-f75b23a20e66
195,hip-hop,-0.541,-0.0708,0.4494,0ed3f8a7-451c-4596-aa43-217cc310b207
196,hip-hop,-0.9549,-1.2789,-0.7065,0ff9ba24-766b-40cd-9b6b-cb00e969c3e0
197,country,-0.753,-0.0561,-0.8484,1174e529-a321-4a65-8c02-6dcbd573a383
198,hip-hop,-1.0054,-0.8959,0.5677,1246b37f-480e-43b4-afec-a789c44e5c84
199,pop,1.5386,0.3859,1.121,14f92a7d-e779-4ac8-b6a1-a1205cc1cbef
200,pop,1.5487,2.1243,1.9698,17ebd2c8-d464-4f94-9a4d-f1156b0268b0
201,country,1.1954,1.1962,-0.2232,18116341-4a97-4bf5-8a21-f40dbf3904dc
202,country,1.1651,0.7394,-0.1739,1845b556-6d6e-4d61-8915-103d4145117a
203,hip-hop,-0.8338,-1.2495,-0.5433,1ae3e45f-c3e1-4483-aad6-758d077ae463
204,country,-0.9751,-0.3066,-0.3217,1bbc7e53-0b34-4a34-b436-dfd34dc0a25c
205,rock,-0.4804,-0.557,-1.3263,1bc6f068-eee4-4910-b8d4-3a2f59ce2254
206,hip-hop,-0.7429,-1.1316,-0.518,1e6326e4-78a8-4c39-a428-c920ee71d426
207,pop,-0.864,-1.1905,-0.7328,2027ca46-a82a-4c3d-92dd-ddc65f5f670d
208,country,0.3878,-0.2034,-0.0851,209058f3-4f55-4be0-81c4-a5c4f9ad9934
209,pop,-0.965,-1.4704,-1.9617,21f7dc65-62b3-4378-827b-0ee216008a12
210,electronic,-0.7631,-1.0727,-1.4762,2369662f-fa9a-4d51-b68e-00133f6a32fe
211,hip-hop,-0.8943,-0.557,-0.1656,23933dbe-e90d-4c83-b9f8-286039b4c2d7
212,electronic,-0.5208,0.6069,-0.3991,249abda3-1f7e-4228-9a87-0e6c1626eb0c
213,rock,1.3973,0.5185,1.0813,25002df8-b1b6-43af-9c9e-179af0071249
214,country,-1.0256,0.9604,1.913,2556ff09-1547-4ba6-851b-5e8d02a33d0c
215,pop,0.8118,1.1372,-0.8843,255ab5fb-9cd0-3d38-9ef0-1a902d38bb12
216,hip-hop,1.1146,0.1796,0.1033,26ee3571-b93a-4bbb-b656-02c74a1374fe
217,hip-hop,-0.9044,-1.2642,-0.6972,273af566-6391-4a6c-835c-d40dcc725e07
218,country,-0.652,-0.7633,0.1932,279c14d1-f7bf-4e64-843c-14dd8dc538bc
219,rock,-0.7328,0.3564,0.2128,287a9196-274c-4b6a-8342-b3027fbf6f83
220,rock,-0.8439,-1.1169,-0.8099,29655244-95fa-42ab-86e4-0c2d94966355
221,country,1.2358,1.5203,0.8522,29adc87d-8df0-4a66-8e26-10cb67a9461d
222,rock,-0.8338,-0.8222,0.134,29dd0cad-c0cc-4af1-8da0-e635d0b123d5
223,hip-hop,1.0843,1.3435,-0.0566,29fb4ef0-386b-4e08-bf24-afd41fd925db
224,pop,-0.2179,-0.3213,-0.9767,2b468dc0-0140-40d7-bc44-1e3a4f6e5aec
225,country,-0.8035,-0.6896,-0.5287,2c582f83-9592-4dd4-a85b-58d3609fa6d3
226,pop,-0.8035,-0.6896,-0.5287,2c582f83-9592-4dd4-a85b-58d3609fa6d3
227,hip-hop,-0.8035,-0.8222,-0.4205,2d655537-ffa1-3cf5-a256-4575612d9ff6
228,hip-hop,-0.7126,-1.0727,0.9349,2e758f93-94db-409b-8168-14fd1c4ff066
229,rock,1.3771,1.0046,-0.1633,2f023580-2736-48da-ba12-33554dcb9a14
230,electronic,1.5487,1.0636,-0.6997,34d4362f-941e-461c-b994-792e0dff242d
231,hip-hop,-0.8943,-1.0874,0.5277,34ff3318-78b3-45f7-a477-fcb2e473bf63
232,pop,1.5487,0.8278,2.1014,351a6161-9af1-4b6f-8b78-39b6dd484122
233,pop,1.2358,-0.2182,1.1466,352f9f4a-bda0-4149-aac4-46426ff83d25
234,country,1.155,0.047,1.4002,35938741-c31f-4fac-95ba-13ce789e1080
235,rock,0.7916,-0.174,0.5645,3628a4d1-b3a8-4567-90a4-b1c3dd291181
236,country,-0.9145,-1.2642,-0.3912,362d1c86-8276-4919-ab56-dbae31230fb3
237,hip-hop,-1.0256,-0.7485,0.4135,38780dbf-f05b-4444-a011-08ebac4175d6
238,hip-hop,1.5487,1.4024,2.2319,38c46042-2656-41d1-9672-3c24f7b43637
239,rock,0.307,0.3859,-0.7018,39f7f396-f8b3-4301-8e08-6868a45a60ad
240,rock,1.5487,1.0488,1.2101,3aa72278-b25d-4622-beb6-66eb0156b5b7
241,hip-hop,0.2868,0.3417,-0.6677,3ac8cc87-f406-41f3-9269-3472031ea7b9
242,rock,-0.9145,-0.5423,0.3753,3b91dddf-a538-402a-9584-64c7463311c9
243,hip-hop,1.3872,1.4908,0.5004,3c575b09-1bb5-4285-b738-1d0b97a3d17f
244,pop,-0.7328,-0.4244,-0.7825,3ee0a863-0e1a-4820-85a6-6b41f815da03
245,hip-hop,0.6805,0.872,-0.1329,3faae43d-1bf8-3cc3-b145-9e925a13acea
246,country,-0.8035,-0.0414,0.3677,4006541b-afd8-4687-ae31-7195d9d92e91
247,country,1.044,1.093,-0.2807,404ad295-b08e-490c-b3c9-1fd11a16008b
248,rock,-0.7833,-0.5718,-0.4723,4089b07a-d914-3f73-b72f-f8788f3c5cb0
249,rock,1.5285,-0.3066,1.2072,4349b090-8599-4151-b5ba-a94ac327933c
250,country,1.5487,1.5055,0.9512,4362b319-05ad-4923-a9fe-20240eb7b174
251,rock,-0.2684,-0.2329,-1.7269,450f43e8-5a44-4349-85a3-0615ab3f3563
252,hip-hop,-0.7631,-0.9695,1.4951,454467c4-a10d-4bd2-b9c2-ab0c5662dd45
253,country,1.1247,0.5627,0.3065,464721f0-91a9-42fc-b286-904106fce287
254,rock,0.8017,0.8131,-0.3033,466c6528-69ca-4536-b12b-ada285318dd6
255,rock,-0.8035,-1.1758,-0.8109,46d67186-415a-4d35-9499-747481353a85
256,country,-0.7126,-0.0119,0.355,4728e702-d0c8-45f7-aef3-e5f386c2aab6
257,hip-hop,-0.7429,-0.4834,-0.6585,4787bb54-a53f-4a0a-b80e-5df0b44e271f
258,rock,1.5487,2.1538,1.179,47fb308c-f395-44dd-86b6-d202afd89d1a
259,pop,-0.4905,-0.2034,-0.9795,4a467ebc-e85f-45d7-8526-c6e373ae93c0
